generation_index,source_sample_id,source_image_path,source_label_path,source_image_sha256,source_label_sha256,source_split,is_negative,anchor_class,class_ids,prompt,seed,width,height,num_inference_steps,guidance_scale,scheduler,base_output_filename,rgda_output_filename,rgda_checkpoint_sha256
247,formal_train_0645,,,08ffb8cd151453e31bbe9b9fcac3fd22d88b2a2ef9345c00ea4584cb9983b8a8,d3e0fc1494f9ab7bb91d871fb932fa9a5d392252dddec2e9a5a58a7fd6d49c5f,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600247,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0247_formal_train_0645.png,sd3rgda_0247_formal_train_0645.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
248,formal_train_0648,,,4ebb41f847ce45dc675172d60b4dbf86e1a1c541320a567aad9c98e4ca8c1075,811760a3d64b1df88cc30d33d6602c7c3c65a0a7991b078bbacaff0166727e9e,train,false,D00,,a Czech road surface with longitudinal crack damage,202600248,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0248_formal_train_0648.png,sd3rgda_0248_formal_train_0648.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
249,formal_train_0650,,,d57fd6a8e1e6357058c85f46635af1cacd21325a9ebda6a86e87052fb16f72f1,970a56597b1e9fb2f943068788c5877d020952e664f184289b5af09f44c7dff6,train,false,D00,,a Czech road surface with longitudinal crack damage,202600249,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0249_formal_train_0650.png,sd3rgda_0249_formal_train_0650.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
250,formal_train_0651,,,c90b606e99e5b7461b866e3b36c3bb67acf7059b7dc2aae47ceb2cb28f7f4178,55ebbea8fe6f76b97042a6f986c132eb307888c016931274ea026f8ec0e7f77b,train,false,D00,,a Czech road surface with longitudinal crack damage,202600250,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0250_formal_train_0651.png,sd3rgda_0250_formal_train_0651.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
251,formal_train_0657,,,70fc9fc089e43b9865ccce782375671f124e14fac60e8106033ec4c1321112c7,030e9f4615a6cd82690169ff984820e83b92dfcda70e43e9dd9ddb21d2077cfe,train,false,D00,,a Czech road surface with longitudinal crack damage,202600251,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0251_formal_train_0657.png,sd3rgda_0251_formal_train_0657.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
252,formal_train_0662,,,439e9cce1ae5f81c08a67798b25fd7132da5885cdf09e4ccc09c09a420892872,03853cb7dbbbad83f112ecaf69417a2a52e85252a69d6fa8083c3fe120b3bc11,train,false,D00,,a Czech road surface with longitudinal crack damage,202600252,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0252_formal_train_0662.png,sd3rgda_0252_formal_train_0662.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
253,formal_train_0664,,,7d0b44101f8405a188511f9326df29b12f6418febdebc25166eca77f237d9505,e6f588b0ae72111b949c760aad9ee2e1a7031557fc3489d6075d9127d4153dcf,train,false,D00,,a Czech road surface with longitudinal crack damage,202600253,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0253_formal_train_0664.png,sd3rgda_0253_formal_train_0664.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
254,formal_train_0666,,,c0cf86a1a896b2d72308cc6695665c94611929c1af6a3516fbf0c58baf4eaef3,ad4e86a89e4bf415380928787cb87d56a5458b6a4f82fbdaaf970213fbaba46f,train,false,D20,,a Czech road surface with alligator crack damage,202600254,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0254_formal_train_0666.png,sd3rgda_0254_formal_train_0666.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
255,formal_train_0670,,,d82ca014b181f7c8a42d602c4e7fed1ef56dcc5a92cfd61a293f81d5a05eecd3,f53cbfa7bf43fc7fb8c7d689c02a11f8e73b1de3d95a0a7ac348282205eef438,train,false,D10,,a Czech road surface with transverse crack damage,202600255,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0255_formal_train_0670.png,sd3rgda_0255_formal_train_0670.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
256,formal_train_0672,,,67ecd086eddf77a53f56a4749f4fb8d56ceda284e60ff1df916cd8882208bbb5,dc064321c3b557d38681af4060d57f71eaf5533ca193a9e3b38f99e2d939e96e,train,false,D00,,a Czech road surface with longitudinal crack damage,202600256,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0256_formal_train_0672.png,sd3rgda_0256_formal_train_0672.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
257,formal_train_0676,,,c8f2eac0bd11217f8719323b3052cbdd82d5a403499935b619ebeea3f04de1d5,2959c61899c3879b20d66d9449ae1686eaaa96399cdabfd5c6ec1c3cebd5f81d,train,false,D00,,a Czech road surface with longitudinal crack damage,202600257,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0257_formal_train_0676.png,sd3rgda_0257_formal_train_0676.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
258,formal_train_0679,,,ea17d258a124ae8084c28dc69c9ee6d28a6e4865634bb03f9c0cc42b1b23c371,0a8211cd3654485c507df1808e50f3ba6dd41b57e095ffce79765ee897e3b753,train,false,D00,,a Czech road surface with longitudinal crack damage,202600258,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0258_formal_train_0679.png,sd3rgda_0258_formal_train_0679.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
259,formal_train_0680,,,93666e305d4cfd20e6567541aa6f1ca5922b05d3b37a8c652cfb3d94434ec120,3494e3475ad8a24a717aa769cd97c60204a01e91e7106db9f140912619167f86,train,false,D20,,a Czech road surface with alligator crack damage,202600259,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0259_formal_train_0680.png,sd3rgda_0259_formal_train_0680.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
260,formal_train_0683,,,1292246bd2435d11239c4a90febb3479dbb134f3a2ca35c4bc61cb21a6cee2d9,7a93b7730d93a2f4db5e0224240ed311758944dfc5f2b13e5e31df267b241f51,train,false,D00,,a Czech road surface with longitudinal crack damage,202600260,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0260_formal_train_0683.png,sd3rgda_0260_formal_train_0683.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
261,formal_train_0689,,,80201c9761e4c2823d6d6c83def6f49c9d94e0866da19bbf612adfd5a2b16906,246ea4b3fa4340bbc3fc813a9affd17a0db1b7ee80b822f752bbc83c7f316139,train,false,D00,,a Czech road surface with longitudinal crack damage,202600261,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0261_formal_train_0689.png,sd3rgda_0261_formal_train_0689.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
262,formal_train_0690,,,21252749a05aaeac7ae0c4ed864b8a7b7d1822811f85ede0667cbca61b633986,c42b13422706391393923537e16d35eed2224b5d8651ae16f2e48bc14dc0b578,train,false,D00,,a Czech road surface with longitudinal crack damage,202600262,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0262_formal_train_0690.png,sd3rgda_0262_formal_train_0690.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
263,formal_train_0691,,,5b5d5e7ae44983ed2d02b5f2d9bf2098c6f6a425fd3ef4b20ebf03979bf80120,4a9e907c206cb10dbf55614cbe5df73e3c417fa00c181b47c9e55e176c719402,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600263,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0263_formal_train_0691.png,sd3rgda_0263_formal_train_0691.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
264,formal_train_0694,,,a1d4c776a6a13d7171dda7a8df19c985947eb0c26c7dc73a276adbb156b6761c,0d9bf87ede78de1fdb005a82a6cd32c1be42a3056e642682540f1db0307e2991,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600264,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0264_formal_train_0694.png,sd3rgda_0264_formal_train_0694.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
265,formal_train_0695,,,2741605275d19af53451660e864f1abd044e2bd9055458a276ca68d190de7bff,ba608e6988527fc46f1d769962c8a9aae36aeb83bb55640f16793d7c01c6e79c,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack and alligator crack damage,202600265,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0265_formal_train_0695.png,sd3rgda_0265_formal_train_0695.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
266,formal_train_0697,,,22478bd1702620a1eff4059aba6b1362134e3f65a79d35e55480b0660fc62d2b,cc11086be6874e5ac25ab43200690ad3d659fdeb66fab528796ce9ad80875f81,train,false,D10,,a Czech road surface with transverse crack damage,202600266,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0266_formal_train_0697.png,sd3rgda_0266_formal_train_0697.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
267,formal_train_0699,,,47c17afe30b885026d38ff759a3e280826b9017a69caa4a3d9d656065a8d4bec,c487514a8cf24c8357b98149ddbe878cf2393c3f9e69b44aa124e7ac6c6984ae,train,false,D00,,a Czech road surface with longitudinal crack damage,202600267,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0267_formal_train_0699.png,sd3rgda_0267_formal_train_0699.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
268,formal_train_0702,,,5cfa767ce6b789c136607b45b084ec03b4ea2dd1772fda4618b7aa54d35b3e42,367d2e104ece37c4366227adf82d8756e8a627b402867567282741b2645903bb,train,false,D00,,a Czech road surface with longitudinal crack damage,202600268,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0268_formal_train_0702.png,sd3rgda_0268_formal_train_0702.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
269,formal_train_0703,,,e13ba0441858e4baea25623a48e6ee8cdfe3086882ee86993ab9371134a847d2,6b9601f7ff6c5d6e50f06e68618709a2a329c8ca90c42c3bb89ad932e02f0a44,train,false,D00,,a Czech road surface with longitudinal crack damage,202600269,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0269_formal_train_0703.png,sd3rgda_0269_formal_train_0703.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
270,formal_train_0705,,,7d49df65af12b0ab2fca700e3f92ccd21a462e9a67cb2440d4be1423c0286f06,896a3d7afd9ae586920b7d25273b52fc563853d80fdffd69d769541b1bf53d62,train,false,D20,,a Czech road surface with alligator crack and pothole damage,202600270,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0270_formal_train_0705.png,sd3rgda_0270_formal_train_0705.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
271,formal_train_0706,,,50ecf0e3777ec231195f413064df9255f6fbabba0acf1d2035165b03edda1b7d,8d761cf9e7b7de26a23324b9bc41a2527ac4feb695e6a80c777c908ba054a376,train,false,D00,,a Czech road surface with longitudinal crack damage,202600271,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0271_formal_train_0706.png,sd3rgda_0271_formal_train_0706.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
272,formal_train_0707,,,890fed9e5e9d8784ee5e2344217beb75253dbaabd8f5aa2ac52346ea41f52b37,e661e62e9814dda9b5d6021ac75046957fef20749eae14db525f0487142c722d,train,false,D00,,a Czech road surface with longitudinal crack damage,202600272,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0272_formal_train_0707.png,sd3rgda_0272_formal_train_0707.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
273,formal_train_0708,,,c1e65244a3265a56382dedb8374008d469692c45910d4288b03d9325f319200a,7343007d8bd167f7bf5085dad99c9c513e409c7850c70068ee4c3136ee719a2e,train,false,D00,,a Czech road surface with longitudinal crack damage,202600273,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0273_formal_train_0708.png,sd3rgda_0273_formal_train_0708.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
274,formal_train_0711,,,0334c8305b35d19dc6fa733aaf8d912ef91c766a26694dc0a66722352d7801fe,f5424aa895fab46174c9abfe761ff4b6a6a718a7a7a41d463b83cba583e004aa,train,false,D20,,a Czech road surface with alligator crack damage,202600274,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0274_formal_train_0711.png,sd3rgda_0274_formal_train_0711.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
275,formal_train_0713,,,b1bf961c3a6a5e7347756c448e202c3b3505792d0327fca196c12fe08140fa31,9675da0ebed90241912c267f9fbec0a4bb6b07050bfc32db7425024ca5b6ee09,train,false,D00,,a Czech road surface with longitudinal crack damage,202600275,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0275_formal_train_0713.png,sd3rgda_0275_formal_train_0713.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
276,formal_train_0717,,,ca133ba1b624d8d42a1b655e95553e9bdf95ed388bd024081da47cddcb427edf,f4f170e7af692b64906c5579af4774859a118c298bdeeb81a149e0f62cb69b60,train,false,D20,,a Czech road surface with alligator crack and pothole damage,202600276,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0276_formal_train_0717.png,sd3rgda_0276_formal_train_0717.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
277,formal_train_0718,,,c756995ea74523ed5df10bdec4e041fa60767889c9f97e4779d2b5287d735463,090fbc9440fa75584e9b6748e763105e85e5d7eeb0c01e7fce2ce8372554bc0c,train,false,D20,,a Czech road surface with alligator crack and pothole damage,202600277,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0277_formal_train_0718.png,sd3rgda_0277_formal_train_0718.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
278,formal_train_0722,,,0d010f206c127cb3798d204b29e99af3dca739c654cfac720946ad86b6442a40,756d6c572225d0f2d1c7dc7dc9afe3a1029115d4cf82b2deb8baa3b2141da249,train,false,D00,,a Czech road surface with longitudinal crack and pothole damage,202600278,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0278_formal_train_0722.png,sd3rgda_0278_formal_train_0722.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
279,formal_train_0724,,,f8b7dfc6d542c566c159114d1c1c1cd0be82ffae738a2ba3a5624bc37ed41434,7a08cd56d42acbbb6503442a19dfb55c97fa2c7afad866b8f2dfc4ba6334b9b1,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600279,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0279_formal_train_0724.png,sd3rgda_0279_formal_train_0724.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
280,formal_train_0728,,,b0748c18856652330972a1a2f45eeded013edcf34e3226f9a1174dda8b532e6f,342eaecbb867259963b4f4be6af57c5c00333371b44aa505bae564a6552a05e1,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600280,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0280_formal_train_0728.png,sd3rgda_0280_formal_train_0728.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
281,formal_train_0730,,,ff4a438d8f47294fe17d072a71b4c2109c020d9c21edc8a46bad0a4ab86377a5,710aca28bc9914a81d5021e24d9fc9dd230f946e05d6a45222c74dce5d17c7d4,train,false,D10,,a Czech road surface with transverse crack damage,202600281,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0281_formal_train_0730.png,sd3rgda_0281_formal_train_0730.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
282,formal_train_0731,,,e9a7ae7bf7791eb67163acd9bb4b5047e29a6ce7aef9537cc6d1643817c118fb,be2f3dddea708c4b8c5c572db7dc9d1eca1d0898936173e30e69ad778b24ac16,train,false,D00,,a Czech road surface with longitudinal crack damage,202600282,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0282_formal_train_0731.png,sd3rgda_0282_formal_train_0731.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
283,formal_train_0732,,,6e6d1ad4c1ff2e9b0ea65617c9c4b3055a8ce0ab6ce9c19dea3708cddfa3acbe,d4875276b8c32dbf163a547883d3ce68296d5adc18469c08d6369dcc862e92d3,train,false,D20,,a Czech road surface with alligator crack damage,202600283,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0283_formal_train_0732.png,sd3rgda_0283_formal_train_0732.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
284,formal_train_0738,,,d4a4313d1d4e8b4d764f07702f89c4ff6482fd4cb304877fe8380f20d3ad19e2,caf42e8b009043aad9aabdc50182c97f96202832e78e9230d0bbbead69544660,train,false,D00,,a Czech road surface with longitudinal crack damage,202600284,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0284_formal_train_0738.png,sd3rgda_0284_formal_train_0738.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
285,formal_train_0740,,,37c4e3aeeed0519658b2532d449245202cb06a6e10ecdea5dcbcb36b7e3d3fcb,6873af72dd68d36d98b85b250e2a737f12d91638a130efecb5724e0d10874887,train,false,D00,,a Czech road surface with longitudinal crack damage,202600285,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0285_formal_train_0740.png,sd3rgda_0285_formal_train_0740.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
286,formal_train_0743,,,0bcd19fdc6e27a8a4ca2ccf9929b1196256c3bd099ace206ae7e2dbf1ea9e936,ccb8e38200c579d6f33fb6c02ceac75b6b4a70e54a58bd20e65a3c701ddbef73,train,false,D00,,a Czech road surface with longitudinal crack damage,202600286,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0286_formal_train_0743.png,sd3rgda_0286_formal_train_0743.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
287,formal_train_0747,,,1933e0daf4b3105d382da34847bf44304a5040c08f456df39a8cd3d70a3f378f,6443e95166b61f34e62281da4f37c0ddab52f8441f9e078af40a457b67ef100d,train,false,D00,,a Czech road surface with longitudinal crack damage,202600287,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0287_formal_train_0747.png,sd3rgda_0287_formal_train_0747.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
288,formal_train_0749,,,1b511f81e58db732215346596feea04fe7582563ad234cca827f6143fa6b7361,292a3eac191e566380758b1d1a151aa921b91cbf183a96076d6f534fc6963aaf,train,false,D00,,a Czech road surface with longitudinal crack damage,202600288,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0288_formal_train_0749.png,sd3rgda_0288_formal_train_0749.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
289,formal_train_0750,,,3e099a003030bf0bcc114219c0494017a44c7bf5c05c105a5487ad4fca1ae666,c6e2584af7c85a26730feb08f0d7e382080ebcf6d6c65aedc00b7833434cd7bb,train,false,D00,,a Czech road surface with longitudinal crack damage,202600289,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0289_formal_train_0750.png,sd3rgda_0289_formal_train_0750.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
290,formal_train_0753,,,bc2a3f9f8ab153ddbf035b71bd214b8c37a5ab85ec43c556f1c0effe710ebee0,b53c1cfd01961ae2bd899e21410139a913d0149e238121765de499f442c6717e,train,false,D00,,a Czech road surface with longitudinal crack damage,202600290,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0290_formal_train_0753.png,sd3rgda_0290_formal_train_0753.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
291,formal_train_0754,,,12083afc3abc4334e0730a535021f5ef5f96b53dda88b527a0cb8b3cf0b16d74,ae68ad13036f3de456784f1d2c57366708507d43ab07203145a1b7b6be8da960,train,false,D00,,a Czech road surface with longitudinal crack damage,202600291,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0291_formal_train_0754.png,sd3rgda_0291_formal_train_0754.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
292,formal_train_0758,,,72c3847800908ff79b74b04844a01e031e33adba4525836555748a5cd86f425d,02ad20f92e7c9d32b77bf8f5d03cf4d38cfdff27dbcdc3ed64bfd66367879d86,train,false,D10,,a Czech road surface with transverse crack damage,202600292,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0292_formal_train_0758.png,sd3rgda_0292_formal_train_0758.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
293,formal_train_0759,,,24305703fc1d294a9dcea3b733a66470b0bd51783b5cb9fd82771521ea4b70b5,e20221e36ca576cbe52d1c166370e87e829572fa519fb046046f866b869ff93a,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600293,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0293_formal_train_0759.png,sd3rgda_0293_formal_train_0759.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
294,formal_train_0762,,,53c1c7b42eeb337c696c930d7165c061eea12fd58ef5f36b959d908db674dcb9,44385d7f98d8efd0a0184c0f763b0571ff0b25b43a81ee4b1eede95be7558b52,train,false,D10,,a Czech road surface with transverse crack and pothole damage,202600294,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0294_formal_train_0762.png,sd3rgda_0294_formal_train_0762.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
295,formal_train_0763,,,316c0dc96d748fce1581f4e69e1770ebb7fd4d851065e27cb2dd21bd92904ff5,4271d177643724af0fdbb3d6ccc8c0c1180f73cecea806ddbb8583e93c5489bb,train,false,D00,,a Czech road surface with longitudinal crack damage,202600295,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0295_formal_train_0763.png,sd3rgda_0295_formal_train_0763.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
296,formal_train_0764,,,6c6dcabd9cddec93423376b547f689403a074b07d723a634cc8db6547956ba35,cbb350563eef6badc7c82aa2ad8f349ad1a2a6133ebfb2c7361563e91d6714e4,train,false,D00,,a Czech road surface with longitudinal crack damage,202600296,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0296_formal_train_0764.png,sd3rgda_0296_formal_train_0764.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
297,formal_train_0766,,,e624ab693e930ce40cd9d93027f19ec3fb57674a766c9b0df0faf590656aa782,da407a10275a370e6de2510ae653fbc1a292e110a8e9866fbb126a467dec4a9f,train,false,D00,,a Czech road surface with longitudinal crack damage,202600297,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0297_formal_train_0766.png,sd3rgda_0297_formal_train_0766.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
298,formal_train_0775,,,6120eff7afd6e9a3df844b5a133809a9148cdbb1ecfd9a0234cad2e59603e080,1aa7d43c17809bc91862bdfa5c7864b337311508614f29eaffbeabfee1c34cf6,train,false,D20,,a Czech road surface with alligator crack damage,202600298,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0298_formal_train_0775.png,sd3rgda_0298_formal_train_0775.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
299,formal_train_0778,,,506abf215e3bc1bf0188032c4eebe22f4b5c166b11e0ad2895cfbcb1f6579158,f3cd13852b33b57c33a0af96c6eaab45ed427ff4dd06cc3a43634254ad53e568,train,false,D10,,a Czech road surface with transverse crack and alligator crack damage,202600299,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0299_formal_train_0778.png,sd3rgda_0299_formal_train_0778.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
300,formal_train_0781,,,6863a70e3997426f73fc9e927dfa7b73fcd9db55c71ae69b40f1e389fc43752b,253dd8e5c3b4bd083b262317e715297a58e52cac0ae352df21ebffdc2ca40a3b,train,false,D00,,a Czech road surface with longitudinal crack and pothole damage,202600300,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0300_formal_train_0781.png,sd3rgda_0300_formal_train_0781.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
301,formal_train_0785,,,404c9e1e7baee5d858add2bb30758731c8703c0fcfa52862f07865f3e719d604,453528de1324670d2b0a29d70a82a666702d6521c222681a8c3316900d7f7dc3,train,false,D20,,a Czech road surface with alligator crack damage,202600301,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0301_formal_train_0785.png,sd3rgda_0301_formal_train_0785.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
302,formal_train_0786,,,98e4118ca05d8cdd6fab8364d8dd9115eff5229bfeb8ba6054fc672ef0e95b27,a4af27d0313d811668ff030717b7d315eac894c06fd28f979c767fb94c235405,train,false,D00,,a Czech road surface with longitudinal crack damage,202600302,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0302_formal_train_0786.png,sd3rgda_0302_formal_train_0786.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
303,formal_train_0788,,,2a13f7e816ae2c6176f7de498442e20be4001e12b567431f372e0a512e237fff,d2ad73a5f33d59d23bcc5839658e30968e7cafc482bde27e46638aeb2cd9e10f,train,false,D00,,a Czech road surface with longitudinal crack damage,202600303,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0303_formal_train_0788.png,sd3rgda_0303_formal_train_0788.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
304,formal_train_0789,,,589cd6d7eb8810e9c1f9bd7f954fb759dccb057579d6813834584d5398124c04,4ceeda0a7b2cc318ff1224fe25f48c84d95fabb710a47a94e1965bcf0f075103,train,false,D00,,a Czech road surface with longitudinal crack damage,202600304,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0304_formal_train_0789.png,sd3rgda_0304_formal_train_0789.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
